Category,Product,Volume (mL),ABV (%),qty,Current Price ($),Regular Price ($),mL / $,mL / $ (sale)
Beer,Distillerie Fils Du Roy Stella Maris 750ml,750,7.5,1,10.21,10.21,5.509304603330068,5.509304603330068
Beer,Distillerie Fils Du Roy Capt Craig 750ml,750,5.5,1,7.79,7.79,5.295250320924262,5.295250320924262
Beer,Distillerie Fils Du Roy Grande Barbe 750ml,750,5.5,1,7.79,7.79,5.295250320924262,5.295250320924262
Beer,Distillerie Fils Du Roy La Beausoleil 750ml,750,5.0,1,10.29,10.29,3.644314868804665,3.644314868804665
Beer,Nogne O Imperial Aquavit Rye Porter 330ml,,,1,,,,
Beer,Granville Island False Creek Raspberry 6 B,,,1,,,,
Beer,Category 12 Transmutation Belgian Specialty Ale 650ml,,,1,,,,
Beer,Muskoka Detour 4 C,,,1,,,,
Beer,Les Trois Mousquetaires Hopfenweisse 750ml,,,1,,,,
Beer,Mill Street Summer Mix 6 B,,,1,,,,
Beer,Grolsch Lager 4 B,450,,4,14.29,14.29,,
Beer,Dunham Assemblage No 1 750ml,,,1,,,,
Beer,Johnny Jacks Farmhouse Ale 750ml,,,1,,,,
Beer,Johnny Jacks Hop Experiment IPA Series 750ml,750,5.9,1,7.99,7.99,5.538172715894868,5.538172715894868
Beer,Johnny Jacks Lost In The Woods Raspberry Ale 750ml,,,1,,,,
Beer,Johnny Jacks Pond Hockey Winter Ale 750ml,,,1,,,,
Beer,Johnny Jacks Stormy Sunset IPA 750ml,750,7.0,1,7.99,7.99,6.570713391739675,6.570713391739675
Beer,Valonray Farmhouse Ale 750ml,750,6.8,1,11.29,11.99,4.253544620517098,4.517271922054917
Beer,Valonray Terroir 750ml,750,6.0,1,11.29,11.99,3.7531276063386154,3.9858281665190436
Beer,Beaus Lug Tread Ale 4 C,,,1,,,,
Beer,Propeller Cascade American Pale Ale 6 B,,,1,,,,
Beer,Propeller ESB 6 B,,,1,,,,
Beer,Dunham Gouden Meyer 750ml,,,1,,,,
Beer,Moosehead Holiday Gift Pack 2 x 473ml,,,1,,,,
Beer,Sound Dubbel Entendre 650ml,650,8.0,1,10.29,13.2,3.9393939393939394,5.053449951409135
Beer,Sound Triple Entendre 650ml,,,1,,,,
Beer,Upstreet Wee Heavy w / Spruce Tips 750ml,,,1,,,,
Beer,Goose Island IPA 6 B,,,1,,,,
Beer,Alpine Lager 6 B,341,5.0,6,7.79,13.79,7.41841914430747,13.13222079589217
Beer,Bud Light 6 B,,,1,,,,
Beer,Budweiser 6 B,,,1,,,,
Beer,Moosehead Light 6 B,,,1,,,,
Beer,Clancys Amber Ale 12 B,,,1,,,,
Beer,Grolsch Lager 1500ml,,,1,,,,
Beer,Garrison Irish Red Ale 6 B,341,5.0,6,14.75,14.75,6.935593220338983,6.935593220338983
Beer,Garrison Tall Ship Amber Ale 6 B,341,5.0,6,14.75,14.75,6.935593220338983,6.935593220338983
Beer,Granville Island Lions Winter Ale 6 B,,,1,,,,
Beer,Hop City Barking Squirrel 6 B,341,5.0,6,15.29,15.29,6.6906474820143895,6.6906474820143895
Beer,Hop City HopBot IPA 6 B,,,1,,,,
Beer,Spindrift Killick 6 C,355,5.0,6,14.99,14.99,7.104736490993996,7.104736490993996
Beer,Boxing Rock Fisticuffs Barrel Aged Barley Wine 650ml,650,11.0,1,13.79,13.79,5.184916606236404,5.184916606236404
Beer,Pump House Best Friend Marzen Lager 6 B,341,5.5,6,14.49,14.49,7.766045548654244,7.766045548654244
Beer,Pump House Biere De Garde 6 B,341,7.5,6,14.49,14.49,10.590062111801242,10.590062111801242
Beer,Bud Light Lime 6 B,341,4.0,6,14.29,14.29,5.72708187543737,5.72708187543737
Beer,Creemore Premium Lager 6 B,341,5.0,6,14.49,14.49,7.060041407867495,7.060041407867495
Beer,Moosehead Lager 6 B,341,5.0,6,14.29,14.29,7.1588523442967125,7.1588523442967125
Beer,Rolling Rock 6 C,355,4.5,6,14.29,14.29,6.707487753673898,6.707487753673898
Beer,Creemore Fall Collection 12 B,,,1,,,,
Beer,Lindemans Framboise 750ml,,,1,,,,
Beer,Upstreet Million Acres Dark Chocolate Lager with Seasalt 750ml,,,1,,,,
Beer,Garrison Hoppy Buoy India Pale Ale 6 B,341,6.5,6,14.95,14.95,8.895652173913044,8.895652173913044
Beer,Picaroons 506 Logger 6 B,,,1,,,,
Beer,Moosehead Radler Watermelon 6 C,,,1,,,,
Beer,Brasseur De Montreal Black Watch 6 B,,,1,,,,
Beer,Carlsberg 6 B,,,1,,,,
Beer,Garrison Mixed 6 B,,,1,,,,
Beer,Keiths Highland Pilsner 6 C,,,1,,,,
Beer,Keiths Lunenburg Coffee & Cacao Stout 6 B,,,1,,,,
Beer,Pump House Crafty Radler 6 C,355,4.7,6,14.99,14.99,6.678452301534356,6.678452301534356
Beer,Samuel Adams Boston Lager 6 C,355,5.0,6,16.29,16.29,6.537753222836096,6.537753222836096
Beer,Petit-Sault John Glazier Pale Ale 6 B,,,1,,,,
Beer,Glutenberg American Pale Ale 4 C,473,5.5,4,15.99,15.99,6.507817385866167,6.507817385866167
Beer,Glutenberg Blonde Ale 4 C,473,4.5,4,15.99,15.99,5.324577861163227,5.324577861163227
Beer,Erdinger Bavaria Gift Pack 2 x 500ml,,,1,,,,
Beer,Modelo Especial 6 B,,,1,,,,
Beer,Keiths Barrel Aged Exclusives 650ml,,,1,,,,
